Sample Date,Location,Site #,Chlorophyll A,Copper,Dissolved Oxygen,Salinity,Specific Conductance,Total Nitrogen,Total Phosphorus,Turbidity
1/30/12,#1 HILLSBORO CANAL US 1,1.0,2.77,,6.11,24.8,39000.0,0.36,0.077,1.7
2/29/16,#1 HILLSBORO CANAL US 1,1.0,3.55,,7.11,0.31,659.0,,0.046,1.9
3/2/09,#1 HILLSBORO CANAL US 1,1.0,4.89,,6.46,29.2,45100.0,0.59,,2.4
3/6/17,#1 HILLSBORO CANAL US 1,1.0,9.03,,4.06,24.4,38100.0,,,2.0
3/6/19,#1 HILLSBORO CANAL US 1,1.0,7.7,,6.19,17.0,24400.0,0.6402,0.127,3.9
3/9/15,#1 HILLSBORO CANAL US 1,1.0,5.1,,6.75,2.48,4340.0,,,3.1
4/11/11,#1 HILLSBORO CANAL US 1,1.0,8.02,,5.7,21.7,34700.0,0.494,0.147,1.9
4/23/12,#1 HILLSBORO CANAL US 1,1.0,6.28,,5.4,10.9,18700.0,1.38,0.1,
4/26/10,#1 HILLSBORO CANAL US 1,1.0,3.76,,4.49,0.181,997.0,1.04,0.083,2.0
5/1/17,#1 HILLSBORO CANAL US 1,1.0,7.66,,5.48,23.8,37700.0,,0.045,3.2
10/25/10,#1 HILLSBORO CANAL US 1,1.0,4.66,,5.44,23.3,36800.0,0.607,0.081,1.4
5/13/13,#1 HILLSBORO CANAL US 1,1.0,11.1,,5.94,0.76,1410.0,1.26,0.09,2.0
5/14/07,#1 HILLSBORO CANAL US 1,1.0,4.89,,4.73,31.1,47800.0,0.777,0.094,2.3
5/19/14,#1 HILLSBORO CANAL US 1,1.0,7.56,,5.73,20.1,31700.0,,,2.3
5/21/20,#1 HILLSBORO CANAL US 1,1.0,3.1,,4.57,21.4,34000.0,0.616,0.128,1.7
5/23/19,#1 HILLSBORO CANAL US 1,1.0,8.0,,5.14,16.8,27500.0,0.5046,0.128,2.2
10/21/13,#1 HILLSBORO CANAL US 1,1.0,4.46,,4.24,23.0,36600.0,0.583,0.113,1.35
5/27/21,#1 HILLSBORO CANAL US 1,1.0,7.03,,,,,0.348,0.181,2.0
2/26/18,#1 HILLSBORO CANAL US 1,1.0,6.5,,5.95,19.0,31300.0,,,4.4
5/31/06,#1 HILLSBORO CANAL US 1,1.0,7.04,,6.01,15.7,25900.0,1.06,0.111,1.7
2/24/20,#1 HILLSBORO CANAL US 1,1.0,2.56,,5.94,18.0,29300.0,0.655,0.167,1.0
2/22/06,#1 HILLSBORO CANAL US 1,1.0,12.1,,6.98,19.4,31300.0,0.83,0.086,2.4
10/26/09,#1 HILLSBORO CANAL US 1,1.0,6.74,,3.67,18.5,30000.0,0.601,0.127,1.4
10/27/14,#1 HILLSBORO CANAL US 1,1.0,2.4,,4.08,3.39,6550.0,,,2.6
11/14/07,#1 HILLSBORO CANAL US 1,1.0,3.61,,5.54,17.2,28200.0,,,1.5
11/16/15,#1 HILLSBORO CANAL US 1,1.0,1.63,,5.08,24.2,39800.0,0.566,0.176,1.0
11/20/19,#1 HILLSBORO CANAL US 1,1.0,1.37,,4.81,14.6,24000.0,0.7733,0.246,1.1
11/26/12,#1 HILLSBORO CANAL US 1,1.0,11.0,,5.58,20.0,32100.0,0.633,0.095,1.3
11/29/06,#1 HILLSBORO CANAL US 1,1.0,2.54,,5.49,19.8,31900.0,0.859,0.096,1.5
11/7/18,#1 HILLSBORO CANAL US 1,1.0,6.95,,5.04,25.7,40400.0,,0.167,2.0
11/9/21,#1 HILLSBORO CANAL US 1,1.0,4.16,,4.66,11.6,19800.0,0.933,0.128,1.2
12/15/20,#1 HILLSBORO CANAL US 1,1.0,1.46,,4.81,4.06,7920.0,0.9351,0.102,1.8
12/5/16,#1 HILLSBORO CANAL US 1,1.0,3.13,,5.46,26.4,41600.0,0.587,0.152,1.4
10/24/11,#1 HILLSBORO CANAL US 1,1.0,2.38,,4.85,13.0,21900.0,0.877,0.113,1.5
2/1/10,#1 HILLSBORO CANAL US 1,1.0,1.24,,6.25,28.7,44400.0,0.437,0.06,1.8
2/11/13,#1 HILLSBORO CANAL US 1,1.0,4.16,,6.42,33.7,49200.0,0.245,0.061,2.5
2/17/14,#1 HILLSBORO CANAL US 1,1.0,7.09,,6.51,21.3,34100.0,,,1.6
2/18/08,#1 HILLSBORO CANAL US 1,1.0,8.24,,6.0,7.8,13900.0,1.44,0.102,2.6
2/19/07,#1 HILLSBORO CANAL US 1,1.0,2.67,,6.9,26.6,41500.0,0.649,0.071,1.8
2/22/21,#1 HILLSBORO CANAL US 1,1.0,2.87,,5.51,21.1,33600.0,0.574,0.134,1.6
6/1/15,#1 HILLSBORO CANAL US 1,1.0,4.88,,5.69,29.4,45600.0,,,2.1
5/12/08,#1 HILLSBORO CANAL US 1,1.0,10.1,,5.87,20.5,33000.0,1.1,0.126,2.2
8/22/16,#1 HILLSBORO CANAL US 1,1.0,7.35,,4.71,4.12,7260.0,1.75,0.041,1.5
8/24/15,#1 HILLSBORO CANAL US 1,1.0,5.91,,3.96,13.1,22100.0,0.71,0.072,1.4
8/23/06,#1 HILLSBORO CANAL US 1,1.0,1.82,,5.07,15.8,26100.0,0.902,0.107,1.1
1/31/11,#1 HILLSBORO CANAL US 1,1.0,1.94,,6.72,27.6,42800.0,0.529,0.062,1.4
8/27/18,#1 HILLSBORO CANAL US 1,1.0,5.65,,4.31,18.3,30500.0,1.509,0.074,1.2
8/20/07,#1 HILLSBORO CANAL US 1,1.0,27.1,,7.3,8.48,15000.0,1.18,0.11,2.2
8/31/09,#1 HILLSBORO CANAL US 1,1.0,18.6,,3.87,4.26,8130.0,1.06,0.12,2.7
8/2/12,#1 HILLSBORO CANAL US 1,1.0,4.57,,5.0,17.5,28600.0,0.714,0.098,1.2
8/4/08,#1 HILLSBORO CANAL US 1,1.0,7.06,,4.77,12.1,20600.0,1.34,0.11,2.0
8/2/10,#1 HILLSBORO CANAL US 1,1.0,8.18,,5.49,11.0,18900.0,0.66,0.108,1.8
8/5/13,#1 HILLSBORO CANAL US 1,1.0,4.72,,3.98,0.61,1460.0,1.051,0.076,2.1
8/1/11,#1 HILLSBORO CANAL US 1,1.0,4.07,,4.83,30.6,47100.0,0.24,0.064,1.4
9/1/21,#1 HILLSBORO CANAL US 1,1.0,8.27,,,,,0.763,0.11,1.2
7/10/17,#1 HILLSBORO CANAL US 1,1.0,5.0,,4.5,3.0,5540.0,,0.06,1.3
8/11/14,#1 HILLSBORO CANAL US 1,1.0,9.23,,5.05,4.62,9300.0,,,1.9
6/22/09,#1 HILLSBORO CANAL US 1,1.0,6.22,,4.52,14.9,24700.0,0.795,0.109,2.3
9/11/19,#1 HILLSBORO CANAL US 1,1.0,7.65,,4.75,8.93,15300.0,0.8903,0.104,1.8
6/25/18,#1 HILLSBORO CANAL US 1,1.0,6.67,,3.94,0.27,28100.0,1.326,0.059,1.7
6/6/16,#1 HILLSBORO CANAL US 1,1.0,3.77,,5.42,1.2,2980.0,1.697,0.06,2.3
9/22/20,#1 HILLSBORO CANAL US 1,1.0,7.38,,4.53,1.01,1830.0,1.03,0.088,1.7
11/17/15,#2 HILLSBORO LOCK,2.0,5.88,,5.16,0.31,643.0,1.14,0.102,11.0
9/9/19,#2 HILLSBORO LOCK,2.0,15.0,,6.25,0.29,598.0,1.1763,0.081,1.8
8/25/15,#2 HILLSBORO LOCK,2.0,25.2,,4.83,0.37,764.0,1.41,0.126,5.9
2/12/13,#2 HILLSBORO LOCK,2.0,8.26,,7.12,0.254,525.0,1.2,0.051,1.2
10/26/09,#2 HILLSBORO LOCK,2.0,4.54,,5.49,0.3,630.0,1.12,0.069,
8/25/21,#2 HILLSBORO LOCK,2.0,9.83,,2.7,0.32,664.0,1.14,0.191,0.6
2/1/10,#2 HILLSBORO LOCK,2.0,1.78,,3.92,0.33,668.0,1.34,0.107,
12/8/20,#2 HILLSBORO LOCK,2.0,2.46,,4.85,0.27,549.0,1.1321,0.093,1.5
12/6/16,#2 HILLSBORO LOCK,2.0,2.22,,8.04,0.38,784.0,1.07,0.033,0.55
8/29/18,#2 HILLSBORO LOCK,2.0,1.3,,3.05,0.32,66.0,1.637,0.069,1.4
10/28/14,#2 HILLSBORO LOCK,2.0,2.77,,3.61,0.34,691.0,,,2.4
8/31/09,#2 HILLSBORO LOCK,2.0,18.5,,4.06,0.32,665.0,1.27,0.1,
9/21/20,#2 HILLSBORO LOCK,2.0,13.2,,4.83,0.2,448.0,0.979,0.11,1.9
