Location,Sample Date,Chlorophyll A,Dissolved Oxygen,Salinity,Specific Conductance,Total Nitrogen,Total Phosphorus,Turbidity
#1 HILLSBORO CANAL US 1,2006-02-28,12.1,6.98,19.4,31300.0,0.83,0.086,2.4
#1 HILLSBORO CANAL US 1,2006-08-31,4.43,5.54,15.75,26000.0,0.9810000000000001,0.109,1.4
#1 HILLSBORO CANAL US 1,2007-02-28,2.605,6.195,23.200000000000003,36700.0,0.754,0.08349999999999999,1.65
#1 HILLSBORO CANAL US 1,2007-08-31,15.995000000000001,6.015000000000001,19.79,31400.0,0.9784999999999999,0.10200000000000001,2.25
#1 HILLSBORO CANAL US 1,2008-02-29,5.925,5.77,12.5,21050.0,1.44,0.102,2.05
#1 HILLSBORO CANAL US 1,2008-08-31,8.58,5.32,16.3,26800.0,1.2200000000000002,0.118,2.1
#1 HILLSBORO CANAL US 1,2009-02-28,8.58,5.32,16.3,26800.0,1.2200000000000002,0.118,2.1
#1 HILLSBORO CANAL US 1,2009-08-31,9.903333333333334,4.95,16.12,25976.666666666668,0.8150000000000001,0.11449999999999999,2.466666666666667
#1 HILLSBORO CANAL US 1,2010-02-28,3.99,4.96,23.6,37200.0,0.519,0.0935,1.6
#1 HILLSBORO CANAL US 1,2010-08-31,5.97,4.99,5.5905,9948.5,0.8500000000000001,0.0955,1.9
#1 HILLSBORO CANAL US 1,2011-02-28,3.3,6.08,25.450000000000003,39800.0,0.5680000000000001,0.07150000000000001,1.4
#1 HILLSBORO CANAL US 1,2011-08-31,6.045,5.265000000000001,26.15,40900.0,0.367,0.1055,1.65
#1 HILLSBORO CANAL US 1,2012-02-29,2.575,5.48,18.9,30450.0,0.6185,0.095,1.6
#1 HILLSBORO CANAL US 1,2012-08-31,5.425000000000001,5.2,14.2,23650.0,1.047,0.099,1.2
#1 HILLSBORO CANAL US 1,2013-02-28,7.58,6.0,26.85,40650.0,0.439,0.078,1.9
#1 HILLSBORO CANAL US 1,2013-08-31,7.91,4.96,0.685,1435.0,1.1555,0.08299999999999999,2.05
#1 HILLSBORO CANAL US 1,2014-02-28,5.775,5.375,22.15,35350.0,0.583,0.113,1.475
#1 HILLSBORO CANAL US 1,2014-08-31,8.395,5.390000000000001,12.360000000000001,20500.0,0.583,0.113,2.0999999999999996
#1 HILLSBORO CANAL US 1,2015-02-28,2.4,4.08,3.39,6550.0,0.583,0.113,2.6
#1 HILLSBORO CANAL US 1,2015-08-31,5.296666666666667,5.466666666666666,14.993333333333332,24013.333333333332,0.71,0.072,2.1999999999999997
#1 HILLSBORO CANAL US 1,2016-02-29,2.59,6.095000000000001,12.254999999999999,20229.5,0.566,0.11099999999999999,1.45
#1 HILLSBORO CANAL US 1,2016-08-31,5.56,5.0649999999999995,2.66,5120.0,1.7235,0.0505,1.9
#1 HILLSBORO CANAL US 1,2017-02-28,3.13,5.46,26.4,41600.0,0.587,0.152,1.4
#1 HILLSBORO CANAL US 1,2017-08-31,7.2299999999999995,4.68,17.066666666666666,27113.333333333332,0.587,0.0525,2.1666666666666665
#1 HILLSBORO CANAL US 1,2018-02-28,6.5,5.95,19.0,31300.0,0.587,0.0525,4.4
#1 HILLSBORO CANAL US 1,2018-08-31,6.16,4.125,9.285,29300.0,1.4175,0.0665,1.45
#1 HILLSBORO CANAL US 1,2019-02-28,6.95,5.04,25.7,40400.0,1.4175,0.167,2.0
#1 HILLSBORO CANAL US 1,2019-08-31,7.85,5.665,16.9,25950.0,0.5724,0.1275,3.05
#1 HILLSBORO CANAL US 1,2020-02-29,3.86,5.166666666666667,13.843333333333334,22866.666666666668,0.7728666666666667,0.17233333333333334,1.3
#1 HILLSBORO CANAL US 1,2020-08-31,3.1,4.57,21.4,34000.0,0.616,0.128,1.7
#1 HILLSBORO CANAL US 1,2021-02-28,3.9033333333333338,4.95,8.723333333333334,14450.0,0.8463666666666666,0.108,1.7
#1 HILLSBORO CANAL US 1,2021-08-31,7.03,4.95,8.723333333333334,14450.0,0.348,0.181,2.0
#1 HILLSBORO CANAL US 1,2022-02-28,6.215,4.66,11.6,19800.0,0.8480000000000001,0.119,1.2
#10 MIDDLE RIVER E SUNRISE,2006-02-28,3.46,7.3,21.0,33600.0,0.85,0.026,0.85
#10 MIDDLE RIVER E SUNRISE,2006-08-31,5.8549999999999995,5.74,20.5,32950.0,1.09,0.047,0.925
#10 MIDDLE RIVER E SUNRISE,2007-02-28,1.37,6.695,26.05,40750.0,0.7035,0.051500000000000004,0.95
#10 MIDDLE RIVER E SUNRISE,2007-08-31,2.34,5.74,26.2,40950.0,0.806,0.052500000000000005,1.025
#10 MIDDLE RIVER E SUNRISE,2008-02-29,2.145,5.734999999999999,18.2,29450.0,1.19,0.047,1.1749999999999998
#10 MIDDLE RIVER E SUNRISE,2008-08-31,4.6,6.04,24.15,38000.0,0.841,0.0395,1.075
#10 MIDDLE RIVER E SUNRISE,2009-02-28,4.6,6.04,24.15,38000.0,0.841,0.0395,1.075
#10 MIDDLE RIVER E SUNRISE,2009-08-31,1.85,5.535,22.450000000000003,35350.0,0.5660000000000001,0.043,1.25
#10 MIDDLE RIVER E SUNRISE,2010-02-28,1.9100000000000001,4.916666666666667,19.133333333333336,30933.333333333332,0.797,0.04533333333333334,1.4666666666666666
#10 MIDDLE RIVER E SUNRISE,2010-08-31,2.98,5.23,14.129999999999999,23250.0,0.7125,0.0335,0.85
#10 MIDDLE RIVER E SUNRISE,2011-02-28,1.79,6.35,22.95,36350.0,0.6194999999999999,0.0465,0.9500000000000001
#10 MIDDLE RIVER E SUNRISE,2011-08-31,2.135,5.805,29.25,45200.0,0.27899999999999997,0.053,1.0
#10 MIDDLE RIVER E SUNRISE,2012-02-29,2.9699999999999998,6.255,29.2,45100.0,0.5920000000000001,0.052,1.2
#10 MIDDLE RIVER E SUNRISE,2012-08-31,4.32,5.785,18.0,29200.0,0.5914999999999999,0.044,0.8
